,PropertyType,Address,City,State,ZipCode,Price,Beds,Baths,Living_Sq_Ft,Lot_Acres,YearBuilt,YearRenovated,Hoa/Month,Parking,Garage,last_sold_price,ElementarySchool,E.SchoolRating,MiddleSchool,M.schoolRating,HighSchool,H.SchoolRating,Heating,Cooling,WalkableScore,TransitScore,BikeableScore,RedfinEstimate,Status
house_0,Single Family Residential,123 E Rosemary Ln ,CAMPBELL,CA,95008,1250000,3,2," 1,252", 0.1848,1949,1949,0,, 2,,Rosemary Elementary School,6,,,,, Gas, Window/Wall Unit,85,43,82," $1,276,922", Active
house_1,Single Family Residential,165 Hunt Way ,CAMPBELL,CA,95008,1275000,3,2," 1,331", 0.271,1951,1951,0,, 2,,Capri Elementary School,7,,,,, Central Forced Air, Central Forced Air,31,33,53," $1,269,365", Active
house_2,Single Family Residential,165 Hunt Way ,CAMPBELL,CA,95008,1275000,3,2," 1,331", 0.271,1951,1951,0,, 2,,Capri Elementary School,7,,,,, Central Forced Air, Central Forced Air,31,33,53," $1,269,365", Active
house_3,Single Family Residential,673 Regas Dr ,CAMPBELL,CA,95008,1989888,4,3," 3,500", 0.11,1988,1988,0,, 2,,Bagby Elementary School,7,Price Charter Middle School,8,,, Forced Air, Central Forced Air,74,44,85," $2,095,588", Active
house_4,Condo/Co-op,850 Apricot Ave Unit A ,CAMPBELL,CA,95008,799000,2,2," 1,065",,1982,1982,495,, 1,,Bagby Elementary School,7,Price Charter Middle School,8,,, Baseboard, Window/Wall Unit,68,45,82," $800,898", Active
house_5,Single Family Residential,1856 Knox St ,Castro Valley,CA,94546,830000,2,1,,,1922,1922,0,, 3,,Strobridge Elementary School,1,Bret Harte Middle School,3,Hayward High School,4,,,81,47,74," $812,474", Active
house_6,Single Family Residential,1856 Knox St ,Castro Valley,CA,94546,830000,2,1,,,1922,1922,0,, 3,,Strobridge Elementary School,1,Bret Harte Middle School,3,Hayward High School,4,,,81,47,74," $812,474", Active
house_7,Single Family Residential,1856 Knox St ,Castro Valley,CA,94546,830000,2,1,,,1922,1922,0,, 3,,Strobridge Elementary School,1,Bret Harte Middle School,3,Hayward High School,4,,,81,47,74," $812,474", Active
house_8,Single Family Residential,1856 Knox St ,Castro Valley,CA,94546,830000,2,1,,,1922,1922,0,, 3,,Strobridge Elementary School,1,Bret Harte Middle School,3,Hayward High School,4,,,81,47,74," $812,474", Active
house_9,Single Family Residential,10111 N Foothill Blvd ,CUPERTINO,CA,95014,2575000,3,3," 2,670", 0.0886,2017,2017,416,, 2,,Stevens Creek Elementary School,9,John F. Kennedy Middle School,9,Monta Vista High School,10," Heating (2+ Zones), Individual Room Controls"," Multi-Zone, Window/Wall Unit",42,26,77," $2,505,147", Active
house_10,Condo/Co-op,10207 Nile Dr ,CUPERTINO,CA,95014,843000,1,1, 884,,1986,1986,491,, 2,,C. B. Eaton Elementary School,9,Sam H. Lawson Middle School,8,Cupertino High School,9, Radiant,,74,50,76," $836,562", Active
